Signs_id,Signs_description
0,"inherited disorder
mental retardation
genetic disorder is congenital
physical abnormalities affecting the head and facial (craniofacial) area the skin the fingers the genitals
malformations of the nipples abdominal wall
delays in language development
"
1,"tropical infectious disease
parasitic
filarial diseases
nematode
eosinophilia
infectious disease
pruritis
edema
hepatosplenomegaly
abdominal pain
myalgia"
2,"
enlargement (dilation) of the esophagus
retention of food and secretions within the esophagus
"
3,"type 2 (insulin-resistant) diabetes mellitus
pcos
signs of androgen excess
"
4,"
dwarfism
"
5,"organic acidemias
mental retardation
high level of acid body tissues
coma
seizures
deficiency of of methylmalonyl coa mutase methylmalonyl racemase adenosylcobalamin synthetic enzymes
methylmalonate a in the urine high
drowsiness"
6,"
hearing loss in one ear
tumor pressing against the eighth cranial nerve
tinnitus
dizziness
imbalance"
7,"gastro-intestinal malabsorption syndrome

"
8,"inherited progressive skeletal disorder
short-limb dwarfism
short stature
acromelia
mesomelia
short hands, fingers feet toes
"
9,"acute leukemia

"
10,"neurological disorder
adie ’s pupil
pupil dilated slow to react in response to direct light
absent or poor tendon reflexes
localized disturbance of sweat secretion
non progressive and limited damage to the autonomic nervous system
blurred vision
poor depth perception
loss of deep tendon reflexes
sensitivity to light"
11,"autism
autism spectrum disorder

"
12,"multiple sclerosis
enlarged prostate
prostate hypertrophy

urinary symptoms"
13,"inherited immune deficiencies
low concentration of antibodies in the blood
lack of particular lymphocytes in the blood lymph
precursor cells that produce gammaglobulins fail
the deficiency in the number of cells b cells
"
14,"mental retardation
spina bifida
meningocele
developmental disturbance of the fetal brain
meningomyelocele
"
15,"drug-induced blood disorder
blood disorder
low levels of granulocytes
"
16,"epilepsy
upper respiratory infections
klinefelter syndrome
47,xxy
involuntary muscle spasms
intellectual disability
hypotonia
microcephaly
microphthalmia
colobomas
abnormalities of the ribs spinal column
delay in motor development
seizures
cream-colored lucunae within the retina
"
17,"genetic disorder
cholestasis
congenital heart defects
jaundice
poor weight gain growth
pruritis
pale, loose stools
heart murmurs
vertebral differences
thickening of in posterior embryotoxon
distinctive facial features
"
18,"progressive neurologic disorder
serious liver disease
dementia
mental retardation
spastic quadriplegia
optic atrophy
increased muscle tone
spasticity
seizures
lack of coordination of motor movement
partial paralysis
muscle twitching
hypotonia
liver damage
loss of intellectual functions
liver cirrhotic
jaundice
blind
"
19,"chronic kidney disease
end-stage renal disease

"
20,"slow growing soft tissue tumor
sarcomas
soft tissue sarcomas
sarcoma
cancers
painless mass in the leg buttock
unbalanced translocation
"
21,"allergic reaction
gradual changes in the lung tissue
breathing difficulty
wheezing
dry coughs
chills
sweating
aching
discomfort
fatigue
lung symptoms
fever
rales
cyanosis
expectoration of blood
"
22,"cardiac arrest
breathing problems
excessive bleeding
"
23,"motor neuron diseases
progressive degeneration of nerve cells
respiratory failure
"
24,"anemia
hemolysis
certain antibodies is higher than normal
"
25,"autoimmune disorder
anemia
autoimmune disorders
infectious mononucleosis
lymphoproliferative diseases
mycoplasma pneumonia
anemias
premature destruction of red blood cells
red blood cells are destroyed prematurely
number of young cells is increased
spleen enlargement
positive for immunoglobulin m
"
26,"genetically transmitted blood disorders
anemia
blood disorder
premature destruction of red blood cells
"
27,"chronic illnesses
cancer
infections
autoimmune and inflammatory diseases
rheumatoid arthritis
lupus
anemia
mild or moderate anemia
chronic, inflammatory
iron-deficiency anemia
low levels of circulating red blood cells hemoglobin
pallor
fatigue
lightheadedness
shortness of breath
irritability
chest pain"
28,"heart disease
kidney failure
ringed sideroblast
breathing difficulties
enlargement of the liver spleen
increased levels of iron in the blood
liver damage
ringed sideroblasts
fatigue
weakness"
29,"inherited disorder
cerebellar ataxia
mental retardation
hypoplasia of the brain 's cerebellum
psychomotor retardation
"
30,"genetic disorder
structural changes of the skull bones of the face
skeletal abnormalities
prominent forehead
midfacial hypoplasia
proptosis
low-set ears
"
31,"cerebral palsy
intellectual disability
spasticity
developmental delay
seizures
"
32,"
absence of certain layer(s) of skin on the scalp on the trunk arms and legs
affected area covered with a thin, transparent membrane
skull underlying areas may be visible abnormally developed
absence of skin congenital
"
